"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"msys","python-maturin","1.12.6-1","False","","x86_64","msys-package","Build and publish crates with pyo3, rust-cpython and cffi bindings (Python bindings)","","spdx:MIT;OR;Apache-2.0","https://www.maturin.rs/","python;maturin","","","","","22.03 KiB","79.73 KiB","Sat Mar  7 04:12:42 2026"
"msys","python-merge3","0.0.16-1","False","","any","msys-package","Python implementation of 3-way merge","","spdx:GPL-2.0-or-later","https://github.com/breezy-team/merge3","python","","","","","26.18 KiB","94.38 KiB","Sun Feb  1 07:16:35 2026"
"msys","python-more-itertools","10.8.0-1","False","","any","msys-package","More routines for operating on iterables, beyond itertools","","MIT","https://github.com/more-itertools/more-itertools","python","","","","","114.43 KiB","744.82 KiB","Sat Sep  6 13:19:21 2025"
"msys","python-pacdb","0.1.0-6","False","","any","msys-package","Pure-python module to parse and read pacman sync dbs","","spdx:MIT","https://github.com/jeremyd2019/pacdb","python;python-zstandard","","","","","18.52 KiB","75.57 KiB","Thu Jan  9 02:36:38 2025"
"msys","python-packaging","26.2-1","False","","any","msys-package","Core utilities for Python packages","","spdx:BSD-2-Clause;OR;Apache-2.0","https://github.com/pypa/packaging","python","","python3-packaging","python3-packaging","python3-packaging","190.94 KiB","1130.19 KiB","Sun Apr 26 19:50:45 2026"
"msys","python-pathspec","1.1.1-1","False","","any","msys-package","Utility library for gitignore style pattern matching of file paths","","spdx:;MPL-2.0","https://github.com/cpburnz/python-pathspec","python","","","","","73.84 KiB","444.73 KiB","Mon Apr 27 19:52:54 2026"
"msys","python-patiencediff","0.2.18-1","False","","x86_64","msys-package","Patiencediff Python and C implementations","","spdx:GPL-2.0-or-later","https://github.com/breezy-team/patiencediff","python","","","","","459.76 KiB","1314.43 KiB","Thu May 28 05:33:52 2026"
"msys","python-pip","26.1.2-1","False","","any","msys-package","The PyPA recommended tool for installing Python packages","","spdx:MIT","https://pip.pypa.io/","python","","python3-pip","python3-pip","python3-pip","2.34 MiB","14.13 MiB","Mon Jun  1 17:08:49 2026"
"msys","python-pkgconfig","1.6.0-1","False","","any","msys-package","Python module to interface with the pkg-config command line tool","","spdx:MIT","https://github.com/matze/pkgconfig","python;pkgconf","","","","","12.96 KiB","41.79 KiB","Sat Mar  7 04:12:47 2026"
"msys","python-pluggy","1.6.0-1","False","","any","msys-package","Plugin and hook calling mechanisms for python","","spdx:MIT","https://github.com/pytest-dev/pluggy","python","","python3-pluggy","python3-pluggy","python3-pluggy","43.06 KiB","202.82 KiB","Mon May 19 17:16:58 2025"
"msys","python-poetry-core","2.3.2-1","False","","any","msys-package","Poetry PEP 517 Build Backend","","spdx:MIT","https://github.com/python-poetry/poetry-core","python","","","","","670.64 KiB","3802.38 KiB","Thu May 21 03:06:27 2026"
"msys","python-py3c","1.4-5","False","","x86_64","msys-package","A Python 2/3 compatibility layer for C extensions","","spdx:MIT","https://github.com/encukou/py3c","python","","","","","9.26 KiB","20.71 KiB","Fri Aug 16 07:30:25 2024"
"msys","python-pyalpm","0.10.10-3","False","","x86_64","msys-package","Libalpm bindings for Python","","GPL","https://gitlab.archlinux.org/archlinux/pyalpm","python;libarchive;libgpgme","","python3-pyalpm","python3-pyalpm","python3-pyalpm","141.73 KiB","467.12 KiB","Tue Dec 30 03:48:42 2025"
"msys","python-pycparser","3.0-1","False","","any","msys-package","C parser and AST generator written in Python","","spdx:BSD-3-Clause","https://github.com/eliben/pycparser","python","","","","","103.26 KiB","646.45 KiB","Thu Jan 22 02:41:36 2026"
"msys","python-pygments","2.20.0-1","False","","x86_64","msys-package","A syntax highlighting engine written in Python","","spdx:BSD-2-Clause","https://pygments.org/","python","","python3-pygments","python3-pygments","python3-pygments","1927.54 KiB","11898.43 KiB","Mon Mar 30 19:45:07 2026"
"msys","python-pyparsing","3.3.2-1","False","","any","msys-package","General parsing module for Python","","spdx:MIT","https://github.com/pyparsing/pyparsing/","python","","","","","232.64 KiB","1474.23 KiB","Thu Jan 22 02:36:49 2026"
"msys","python-pyproject-hooks","1.2.0-1","False","","any","msys-package","A low-level library for calling build-backends in pyproject.toml-based project","","spdx:MIT","https://github.com/pypa/pyproject-hooks","python","","","","","21.53 KiB","99.28 KiB","Mon Oct 14 00:38:09 2024"
"msys","python-pytest","8.4.2-1","False","","any","msys-package","Simple powerful testing with Python","","spdx:MIT","https://pytest.org/","python;python-attrs;python-pluggy;python-packaging;python-iniconfig;python-pygments","","python3-pytest","python3-pytest","python3-pytest","729.59 KiB","4261.60 KiB","Mon Sep  8 12:03:12 2025"
"msys","python-requests","2.34.2-1","False","","any","msys-package","Python HTTP library for humans","","spdx:Apache-2.0","https://requests.readthedocs.io/","python;python-certifi;python-charset-normalizer;python-idna;python-urllib3","","","","","136.25 KiB","711.11 KiB","Fri May 15 10:46:19 2026"
"msys","python-resolvelib","1.2.1-1","False","","any","msys-package","Resolve abstract dependencies into concrete ones","","spdx:ISC","https://github.com/sarugaku/resolvelib","python","","","","","35.10 KiB","173.90 KiB","Thu Nov  6 14:06:53 2025"
"msys","python-roman-numerals","4.1.0-1","False","","any","msys-package","Manipulate well-formed Roman numerals","","spdx:0BSD;OR;CC0-1.0","https://github.com/AA-Turner/roman-numerals/tree/master/python","python","","","","","12.49 KiB","48.09 KiB","Sun Dec 28 16:18:27 2025"
"msys","python-semantic-version","2.10.0-1","False","","any","msys-package","A library implementing the 'SemVer' scheme.","","spdx:BSD-2-Clause","https://github.com/rbarrois/python-semanticversion","python","","","","","36.12 KiB","196.79 KiB","Fri Aug 22 03:54:36 2025"
"msys","python-setuptools","83.0.0-1","False","","any","msys-package","Easily download, build, install, upgrade, and uninstall Python packages","","spdx:MIT","https://pypi.python.org/pypi/setuptools","python","","","","","1551.05 KiB","6787.62 KiB","Tue Jul  7 02:08:12 2026"
"msys","python-setuptools-gettext","0.1.18-1","False","","any","msys-package","Setuptools plugin for building .mo files","","spdx:GPL-2.0-or-later","https://github.com/breezy-team/setuptools-gettext","python;python-setuptools","","","","","27.50 KiB","102.04 KiB","Thu May 21 03:07:07 2026"
"msys","python-setuptools-rust","1.13.0-1","False","","any","msys-package","Compile and distribute Python extensions written in rust as easily as if they were written in C.","","spdx:MIT","https://github.com/PyO3/setuptools-rust","rust;python-setuptools;python-semantic-version","","","","","60.19 KiB","271.39 KiB","Tue Jul  7 02:13:48 2026"
"msys","python-setuptools-scm","9.2.2-1","False","","any","msys-package","Handles managing your python package versions in scm metadata","","spdx:MIT","https://github.com/pypa/setuptools_scm","python;python-setuptools;python-packaging;python-typing_extensions","","","","","117.27 KiB","551.31 KiB","Thu Jan 22 02:42:10 2026"
"msys","python-six","1.17.0-1","False","","any","msys-package","Python compatibility utilities","","spdx:MIT","https://pypi.python.org/pypi/six/","python","","python3-six","python3-six","python3-six","27.18 KiB","118.82 KiB","Thu Dec 26 10:37:41 2024"
