"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"clang64","mingw-w64-clang-x86_64-gdk-pixbuf2","2.44.7-1","False","","any","mingw-package","An image loading library (mingw-w64)","","spdx:LGPL-2.1-or-later","https://gitlab.gnome.org/GNOME/gdk-pixbuf","mingw-w64-clang-x86_64-gettext-runtime;mingw-w64-clang-x86_64-glib2;mingw-w64-clang-x86_64-libjpeg-turbo;mingw-w64-clang-x86_64-libpng;mingw-w64-clang-x86_64-libtiff","mingw-w64-clang-x86_64-libwmf","","","","872.39 KiB","6299.64 KiB","Sun Jun 28 05:05:22 2026"
"clang64","mingw-w64-clang-x86_64-gdk-pixbuf2-docs","2.44.7-1","False","","any","mingw-package","An image loading library (mingw-w64) (documentation)","","spdx:LGPL-2.1-or-later","https://gitlab.gnome.org/GNOME/gdk-pixbuf","","","","","","1270.78 KiB","4156.58 KiB","Sun Jun 28 05:05:22 2026"
"clang64","mingw-w64-clang-x86_64-gdl","3.40.0-6","False","","any","mingw-package","GNOME Docking Library (mingw-w64)","","spdx:LGPL-2.1-or-later","https://gitlab.gnome.org/GNOME/gdl","mingw-w64-clang-x86_64-gtk3;mingw-w64-clang-x86_64-libxml2","","","","","286.82 KiB","1847.46 KiB","Sun Jun 28 07:41:34 2026"
"clang64","mingw-w64-clang-x86_64-gdu","5.36.1-1","False","","any","mingw-package","Fast disk usage analyzer (mingw-w64)","","spdx:MIT","https://github.com/dundee/gdu","","","","","","7.11 MiB","23.13 MiB","Thu May  7 08:20:04 2026"
"clang64","mingw-w64-clang-x86_64-geany","2.1-4","False","","any","mingw-package","Fast and lightweight IDE (mingw-w64)","","spdx:GPL-2.0-or-later","https://www.geany.org/","mingw-w64-clang-x86_64-gtk3;mingw-w64-clang-x86_64-adwaita-icon-theme;mingw-w64-clang-x86_64-gtk-update-icon-cache;mingw-w64-clang-x86_64-python","mingw-w64-clang-x86_64-geany-plugins","","","","2.80 MiB","12.80 MiB","Fri Jul 31 12:18:27 2026"
"clang64","mingw-w64-clang-x86_64-geany-plugins","2.1-5","False","","any","mingw-package","Plugins for Geany (mingw-w64)","","spdx:GPL-2.0-or-later;AND;GPL-3.0-or-later;AND;BSD-2-Clause","https://plugins.geany.org/","mingw-w64-clang-x86_64-geany>=2.1;mingw-w64-clang-x86_64-discount;mingw-w64-clang-x86_64-gtkspell3;mingw-w64-clang-x86_64-ctpl;mingw-w64-clang-x86_64-gpgme;mingw-w64-clang-x86_64-lua51;mingw-w64-clang-x86_64-gtk3;mingw-w64-clang-x86_64-libgit2;mingw-w64-clang-x86_64-gettext-runtime;mingw-w64-clang-x86_64-gtk-update-icon-cache;mingw-w64-clang-x86_64-hicolor-icon-theme","","","","","1793.24 KiB","7272.66 KiB","Sun Nov 30 09:14:47 2025"
"clang64","mingw-w64-clang-x86_64-gedit","50.0-1","False","","any","mingw-package","A text editor for GNOME (mingw-w64)","","spdx:GPL-2.0-or-later","https://gedit-technology.github.io/apps/gedit/","mingw-w64-clang-x86_64-cairo;mingw-w64-clang-x86_64-gdk-pixbuf2;mingw-w64-clang-x86_64-gettext-runtime;mingw-w64-clang-x86_64-glib2;mingw-w64-clang-x86_64-gsettings-desktop-schemas;mingw-w64-clang-x86_64-gspell;mingw-w64-clang-x86_64-gtk3;mingw-w64-clang-x86_64-libgedit-amtk;mingw-w64-clang-x86_64-libgedit-gfls;mingw-w64-clang-x86_64-libgedit-gtksourceview;mingw-w64-clang-x86_64-libgedit-tepl;mingw-w64-clang-x86_64-libpeas;mingw-w64-clang-x86_64-pango;mingw-w64-clang-x86_64-adwaita-icon-theme","mingw-w64-clang-x86_64-gedit-plugins","","","","1857.35 KiB","11467.27 KiB","Tue Mar 31 02:46:32 2026"
"clang64","mingw-w64-clang-x86_64-gedit-plugins","50.0-1","False","","any","mingw-package","Collection of plugins for the gedit Text Editor (mingw-w64)","","spdx:GPL-2.0-or-later","https://gitlab.gnome.org/World/gedit/gedit-plugins/","mingw-w64-clang-x86_64-gedit;mingw-w64-clang-x86_64-gettext-runtime;mingw-w64-clang-x86_64-glib2;mingw-w64-clang-x86_64-gtk3;mingw-w64-clang-x86_64-libgedit-gtksourceview;mingw-w64-clang-x86_64-libgedit-tepl;mingw-w64-clang-x86_64-libpeas","","","","","347.45 KiB","1856.28 KiB","Tue Mar 31 02:50:08 2026"
"clang64","mingw-w64-clang-x86_64-gegl","0.4.70-2","False","","any","mingw-package","Generic Graphics Library (mingw-w64)","","spdx:GPL-3.0-or-later;AND;LGPL-3.0-or-later","https://gegl.org/","mingw-w64-clang-x86_64-babl;mingw-w64-clang-x86_64-cairo;mingw-w64-clang-x86_64-ffmpeg;mingw-w64-clang-x86_64-gexiv2;mingw-w64-clang-x86_64-cc-libs;mingw-w64-clang-x86_64-gdk-pixbuf2;mingw-w64-clang-x86_64-gettext-runtime;mingw-w64-clang-x86_64-glib2;mingw-w64-clang-x86_64-jasper;mingw-w64-clang-x86_64-json-glib;mingw-w64-clang-x86_64-libjpeg;mingw-w64-clang-x86_64-libpng;mingw-w64-clang-x86_64-libraw;mingw-w64-clang-x86_64-librsvg;mingw-w64-clang-x86_64-libspiro;mingw-w64-clang-x86_64-libtiff;mingw-w64-clang-x86_64-libwebp;mingw-w64-clang-x86_64-lcms2;mingw-w64-clang-x86_64-lensfun;mingw-w64-clang-x86_64-maxflow;mingw-w64-clang-x86_64-omp;mingw-w64-clang-x86_64-openexr;mingw-w64-clang-x86_64-pango;mingw-w64-clang-x86_64-poppler;mingw-w64-clang-x86_64-SDL2;mingw-w64-clang-x86_64-suitesparse","","","","","3.20 MiB","17.09 MiB","Mon Apr 13 18:04:29 2026"
"clang64","mingw-w64-clang-x86_64-gegl-docs","0.4.70-2","False","","any","mingw-package","Generic Graphics Library (mingw-w64) (documentation)","","spdx:GPL-3.0-or-later;AND;LGPL-3.0-or-later","https://gegl.org/","","","","","","1180.51 KiB","5915.91 KiB","Mon Apr 13 18:04:29 2026"
