"source_repository","source_package","relationship","target_package","constraint"
"msys","base","runtime-depends-on","bzip2",""
"msys","base","runtime-depends-on","coreutils",""
"msys","base","runtime-depends-on","curl",""
"msys","base","runtime-depends-on","dash",""
"msys","base","runtime-depends-on","file",""
"msys","base","runtime-depends-on","filesystem",""
"msys","base","runtime-depends-on","findutils",""
"msys","base","runtime-depends-on","gawk",""
"msys","base","runtime-depends-on","getent",""
"msys","base","runtime-depends-on","grep",""
"msys","base","runtime-depends-on","gzip",""
"msys","base","runtime-depends-on","inetutils",""
"msys","base","runtime-depends-on","info",""
"msys","base","runtime-depends-on","less",""
"msys","base","runtime-depends-on","mintty",""
"msys","base","runtime-depends-on","msys2-keyring",""
"msys","base","runtime-depends-on","msys2-launcher",""
"msys","base","runtime-depends-on","msys2-runtime",""
"msys","base","runtime-depends-on","nano",""
"msys","base","runtime-depends-on","pacman",""
"msys","base","runtime-depends-on","pacman-contrib",""
"msys","base","runtime-depends-on","pacman-mirrors",""
"msys","base","runtime-depends-on","rebase",""
"msys","base","runtime-depends-on","sed",""
"msys","base","runtime-depends-on","tar",""
"msys","base","runtime-depends-on","time",""
"msys","base","runtime-depends-on","tzcode",""
"msys","base","runtime-depends-on","util-linux",""
"msys","base","runtime-depends-on","wget",""
"msys","base","runtime-depends-on","which",""
"msys","base","runtime-depends-on","zstd",""
"msys","base-devel","runtime-depends-on","base",""
"msys","base-devel","runtime-depends-on","binutils",""
"msys","base-devel","runtime-depends-on","bison",""
"msys","base-devel","runtime-depends-on","diffstat",""
"msys","base-devel","runtime-depends-on","diffutils",""
"msys","base-devel","runtime-depends-on","dos2unix",""
"msys","base-devel","runtime-depends-on","file",""
"msys","base-devel","runtime-depends-on","flex",""
"msys","base-devel","runtime-depends-on","gawk",""
"msys","base-devel","runtime-depends-on","grep",""
"msys","base-devel","runtime-depends-on","make",""
"msys","base-devel","runtime-depends-on","pacman",""
"msys","base-devel","runtime-depends-on","patch",""
"msys","base-devel","runtime-depends-on","sed",""
"msys","base-devel","runtime-depends-on","tar",""
"msys","bash-completion","runtime-depends-on","bash",""
"msys","bc","runtime-depends-on","libreadline",""
"msys","bc","runtime-depends-on","ncurses",""
"msys","binutils","runtime-depends-on","libiconv",""
"msys","binutils","runtime-depends-on","libintl",""
"msys","binutils","runtime-depends-on","zlib",""
"msys","binutils","runtime-depends-on","zstd",""
"msys","bison","runtime-depends-on","libiconv",""
"msys","bison","runtime-depends-on","libintl",""
"msys","bison","runtime-depends-on","m4",""
"msys","bison","runtime-depends-on","sh",""
"msys","bisonc++","runtime-depends-on","libbobcat",""
