"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"mingw32","mingw-w64-i686-freetype","2.14.3-1","False","","any","mingw-package","TrueType font rendering library (mingw-w64)","","spdx:GPL-2.0-or-later;OR;FTL","https://www.freetype.org/","mingw-w64-i686-cc-libs;mingw-w64-i686-brotli;mingw-w64-i686-bzip2;mingw-w64-i686-libpng;mingw-w64-i686-zlib;mingw-w64-i686-harfbuzz","","","","","618.92 KiB","2878.32 KiB","Thu Mar 26 11:25:06 2026"
"mingw32","mingw-w64-i686-gcc","16.1.0-6","False","","any","mingw-package","GNU Compiler Collection (C,C++,OpenMP) for MinGW-w64","mingw-w64-i686-toolchain","spdx:GPL-3.0-or-later","https://gcc.gnu.org","mingw-w64-i686-binutils;mingw-w64-i686-crt;mingw-w64-i686-headers;mingw-w64-i686-isl;mingw-w64-i686-gmp;mingw-w64-i686-mpfr;mingw-w64-i686-mpc;mingw-w64-i686-gcc-libs=16.1.0-6;mingw-w64-i686-windows-default-manifest;mingw-w64-i686-winpthreads;mingw-w64-i686-zlib;mingw-w64-i686-zstd","","mingw-w64-i686-gcc-base;mingw-w64-i686-cc","mingw-w64-i686-gcc-base;mingw-w64-i686-gcc-objc;mingw-w64-i686-gcc-ada;mingw-w64-i686-gcc-rust;mingw-w64-i686-libgccjit;mingw-w64-i686-gcc-libgfortran;mingw-w64-i686-gcc-fortran","","50.49 MiB","196.90 MiB","Fri Jul 31 23:26:28 2026"
"mingw32","mingw-w64-i686-gcc-libs","16.1.0-6","False","","any","mingw-package","GNU Compiler Collection (libraries) for MinGW-w64","","spdx:GPL-3.0-or-later;WITH;GCC-exception-3.1;AND;LGPL-2.1-or-later","https://gcc.gnu.org","mingw-w64-i686-libwinpthread;mingw-w64-i686-tzdata","","mingw-w64-i686-omp;mingw-w64-i686-cc-libs","","","1223.91 KiB","3802.90 KiB","Fri Jul 31 23:26:28 2026"
"mingw32","mingw-w64-i686-gcc-lto-dump","16.1.0-6","False","","any","mingw-package","Dump link time optimization object files (mingw-w64)","","spdx:GPL-3.0-or-later","https://gcc.gnu.org","mingw-w64-i686-gcc=16.1.0-6;mingw-w64-i686-gcc-libs=16.1.0-6;mingw-w64-i686-gmp;mingw-w64-i686-isl;mingw-w64-i686-libwinpthread;mingw-w64-i686-mpc;mingw-w64-i686-mpfr;mingw-w64-i686-zlib;mingw-w64-i686-zstd","","","","","12.62 MiB","37.80 MiB","Fri Jul 31 23:26:28 2026"
"mingw32","mingw-w64-i686-gdb","17.2-1","False","","any","mingw-package","GNU Debugger (mingw-w64)","mingw-w64-i686-toolchain","spdx:GPL-3.0-or-later","https://www.gnu.org/software/gdb/","mingw-w64-i686-cc-libs;mingw-w64-i686-expat;mingw-w64-i686-gettext-runtime;mingw-w64-i686-gmp;mingw-w64-i686-libiconv;mingw-w64-i686-mpfr;mingw-w64-i686-ncurses;mingw-w64-i686-python;mingw-w64-i686-readline;mingw-w64-i686-xxhash;mingw-w64-i686-xz;mingw-w64-i686-zlib;mingw-w64-i686-zstd","mingw-w64-i686-python-pygments","","","","5.32 MiB","15.91 MiB","Tue May 12 13:28:55 2026"
"mingw32","mingw-w64-i686-gdb-multiarch","17.2-1","False","","any","mingw-package","GNU Debugger (supports all targets)","mingw-w64-i686-toolchain","spdx:GPL-3.0-or-later","https://www.gnu.org/software/gdb/","mingw-w64-i686-gdb=17.2","mingw-w64-i686-python-pygments","mingw-w64-i686-arm-none-eabi-gdb=17.2;mingw-w64-i686-avr-gdb=17.2","mingw-w64-i686-arm-none-eabi-gdb;mingw-w64-i686-avr-gdb","mingw-w64-i686-arm-none-eabi-gdb;mingw-w64-i686-avr-gdb","7.41 MiB","30.39 MiB","Tue May 12 13:28:55 2026"
"mingw32","mingw-w64-i686-gdbm","1.26-1","False","","any","mingw-package","GNU database library (mingw-w64)","","spdx:GPL-3.0-or-later","https://www.gnu.org/software/gdbm/gdbm.html","mingw-w64-i686-cc-libs;mingw-w64-i686-gettext-runtime;mingw-w64-i686-libiconv;mingw-w64-i686-readline","","","","","303.77 KiB","1005.31 KiB","Mon Jul  6 02:07:26 2026"
"mingw32","mingw-w64-i686-gettext-libtextstyle","1.0-1","False","","any","mingw-package","GNU LIBTEXTSTYLE - Text styling library (mingw-w64)","","spdx:GPL-3.0-or-later","https://www.gnu.org/software/gettext/","mingw-w64-i686-libiconv","","","","","634.87 KiB","2778.07 KiB","Sat Jan 31 06:17:02 2026"
"mingw32","mingw-w64-i686-gettext-runtime","1.0-1","False","","any","mingw-package","GNU internationalization runtime library (mingw-w64)","","spdx:GPL-3.0-or-later;AND;LGPL-2.1-or-later","https://www.gnu.org/software/gettext/","mingw-w64-i686-cc-libs;mingw-w64-i686-libiconv","","","mingw-w64-i686-gettext<=0.22.4-3","","417.75 KiB","2776.71 KiB","Sat Jan 31 06:17:02 2026"
"mingw32","mingw-w64-i686-gettext-tools","1.0-1","False","","any","mingw-package","GNU internationalization tools (mingw-w64)","","spdx:GPL-3.0-or-later","https://www.gnu.org/software/gettext/","mingw-w64-i686-gettext-runtime;mingw-w64-i686-gettext-libtextstyle;mingw-w64-i686-cc-libs;mingw-w64-i686-libiconv","","mingw-w64-i686-gettext=1.0-1","mingw-w64-i686-gettext<=0.22.4-3","mingw-w64-i686-gettext","4.36 MiB","30.29 MiB","Sat Jan 31 06:17:02 2026"
