"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"msys","liblzma","5.8.3-1","True","5.8.3-1","x86_64","msys-package","Library for XZ and LZMA compressed files","libraries","GPL;LGPL;custom","https://tukaani.org/xz/","","","","","","88.07 KiB","177.08 KiB","Tue Mar 31 23:08:03 2026"
"msys","libnettle","4.0-1","True","3.10.2-1","x86_64","msys-package","A low-level cryptographic library","libraries","spdx:GPL-2.0-or-later;OR;LGPL-3.0-or-later","https://www.lysator.liu.se/~nisse/nettle/","libhogweed","","","","","143.90 KiB","300.89 KiB","Tue Jun 16 14:20:05 2026"
"msys","libnghttp2","1.70.0-1","True","1.69.0-1","x86_64","msys-package","Framing layer of HTTP/2 is implemented as a reusable C library (runtime)","libraries","spdx:MIT","https://nghttp2.org/","gcc-libs","","","","","64.70 KiB","165.65 KiB","Sat Aug  1 09:49:38 2026"
"msys","libnghttp3","1.18.0-1","True","1.16.0-1","x86_64","msys-package","HTTP/3 library written in C - runtime libraries","","spdx:MIT","https://nghttp2.org/nghttp3","gcc-libs","","","","","67.98 KiB","174.57 KiB","Sun Jul 26 13:18:04 2026"
"msys","libngtcp2","1.25.0-1","True","1.23.0-1","x86_64","msys-package","An effort to implement IETF QUIC protocol - runtime libraries","","spdx:MIT","https://nghttp2.org/ngtcp2","gcc-libs;libopenssl","","","","","158.78 KiB","450.96 KiB","Sun Jul 26 13:16:05 2026"
"msys","libnpth","1.8-1","True","1.8-1","x86_64","msys-package","New portable threads library","libraries","LGPL","https://gnupg.org/","gcc-libs","","","","","7.03 KiB","16.79 KiB","Thu Nov 28 18:19:07 2024"
"msys","libopenssl","3.6.3-1","True","3.6.3-1","x86_64","msys-package","The Open Source toolkit for Secure Sockets Layer and Transport Layer Security","libraries","spdx:Apache-2.0","https://openssl-library.org","","","","","","2042.79 KiB","6460.89 KiB","Tue Jun  9 16:39:43 2026"
"msys","libp11-kit","0.26.4-1","True","0.26.2-1","x86_64","msys-package","Library to work with PKCS#11 modules","libraries","spdx:BSD-3-Clause","https://p11-glue.freedesktop.org/p11-kit.html","libffi;libintl;libtasn1","","","","","255.46 KiB","1541.07 KiB","Sat Jul 11 18:06:37 2026"
"msys","libpcre","8.45-5","True","8.45-5","x86_64","msys-package","A library that implements Perl 5-style regular expressions","libraries","BSD","https://www.pcre.org/","gcc-libs","","","","","93.88 KiB","282.49 KiB","Wed Jan 29 11:28:27 2025"
"msys","libpcre2_8","10.47-1","True","10.47-1","x86_64","msys-package","A library that implements Perl 5-style regular expressions","libraries","BSD","https://www.pcre.org/","gcc-libs","","","","","148.18 KiB","433.42 KiB","Wed Oct 22 03:34:32 2025"
"msys","libpsl","0.21.5-2","True","0.21.5-2","x86_64","msys-package","Public Suffix List library (runtime)","libraries","spdx:MIT","https://github.com/rockdaboot/libpsl","libidn2;libunistring","","","","","69.55 KiB","113.12 KiB","Wed Jan 31 16:52:02 2024"
"msys","libreadline","8.3.003-1","True","8.3.003-1","x86_64","msys-package","GNU readline library","libraries","GPL","https://tiswww.case.edu/php/chet/readline/rltop.html","ncurses","","","","","379.21 KiB","1376.52 KiB","Wed Dec 10 19:47:59 2025"
