"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"ucrt64","mingw-w64-ucrt-x86_64-antiword","0.37-3","False","","any","mingw-package","Convert MS Word 2.0-2003 documents to plain text or PostScript (mingw-w64)","","GPL3+","http://www.winfield.demon.nl/","","","antiword","","","118.03 KiB","527.03 KiB","Sat Oct 29 06:37:39 2022"
"ucrt64","mingw-w64-ucrt-x86_64-antlr3","3.5.3-1","False","","any","mingw-package","ANother Tool for Language Recognition (mingw-w64)","","spdx:BSD-3-Clause","https://www.antlr3.org/","","","","","","124.71 KiB","583.36 KiB","Sat Jun 18 21:52:55 2022"
"ucrt64","mingw-w64-ucrt-x86_64-antlr4-runtime-cpp","4.13.2-2","False","","any","mingw-package","ANother Tool for Language Recognition v4 (mingw-w64)","","spdx:BSD-3-Clause","https://www.antlr.org/","mingw-w64-ucrt-x86_64-cc-libs","","","","","784.77 KiB","5928.86 KiB","Sat May  2 04:33:10 2026"
"ucrt64","mingw-w64-ucrt-x86_64-aom","3.14.1-2","False","","any","mingw-package","AV1 codec library (mingw-w64)","","spdx:BSD-2-Clause","https://aomedia.org/","mingw-w64-ucrt-x86_64-cc-libs;mingw-w64-ucrt-x86_64-libwinpthread","","","","","3.61 MiB","22.62 MiB","Sun Aug  2 08:11:13 2026"
"ucrt64","mingw-w64-ucrt-x86_64-appstream","1.1.3-1","False","","any","mingw-package","Tools and libraries to work with AppStream metadata (mingw-w64)","","spdx:LGPL-2.1-or-later","http://www.freedesktop.org/wiki/Distributions/AppStream/","mingw-w64-ucrt-x86_64-curl;mingw-w64-ucrt-x86_64-gettext-runtime;mingw-w64-ucrt-x86_64-glib2;mingw-w64-ucrt-x86_64-libxml2;mingw-w64-ucrt-x86_64-libxmlb;mingw-w64-ucrt-x86_64-libfyaml","","","","","2.16 MiB","15.27 MiB","Sat Jul  4 05:32:41 2026"
"ucrt64","mingw-w64-ucrt-x86_64-appstream-glib","0.8.3-2","False","","any","mingw-package","Objects and methods for reading and writing AppStream metadata (mingw-w64)","","spdx:LGPL-2.1-or-later","https://people.freedesktop.org/~hughsient/appstream-glib/","mingw-w64-ucrt-x86_64-gdk-pixbuf2;mingw-w64-ucrt-x86_64-gettext-runtime;mingw-w64-ucrt-x86_64-glib2;mingw-w64-ucrt-x86_64-gtk3;mingw-w64-ucrt-x86_64-json-glib;mingw-w64-ucrt-x86_64-libyaml;mingw-w64-ucrt-x86_64-curl;mingw-w64-ucrt-x86_64-libarchive","","","","","485.09 KiB","3967.72 KiB","Sat Oct  4 23:10:03 2025"
"ucrt64","mingw-w64-ucrt-x86_64-apr","1.7.6-1","False","","any","mingw-package","The Apache Portable Runtime (mingw-w64)","","spdx:Apache-2.0","https://apr.apache.org/","","","","","","361.88 KiB","2019.33 KiB","Sat Nov 29 07:22:35 2025"
"ucrt64","mingw-w64-ucrt-x86_64-apr-util","1.6.3-2","False","","any","mingw-package","The Apache Portable Runtime (mingw-w64)","","spdx:Apache-2.0","https://apr.apache.org/","mingw-w64-ucrt-x86_64-apr;mingw-w64-ucrt-x86_64-expat;mingw-w64-ucrt-x86_64-libmariadbclient;mingw-w64-ucrt-x86_64-sqlite3;mingw-w64-ucrt-x86_64-unixodbc;mingw-w64-ucrt-x86_64-postgresql;mingw-w64-ucrt-x86_64-openldap;mingw-w64-ucrt-x86_64-nss;mingw-w64-ucrt-x86_64-gdbm;mingw-w64-ucrt-x86_64-openssl","","","","","247.89 KiB","1394.62 KiB","Thu Jan 29 13:15:11 2026"
"ucrt64","mingw-w64-ucrt-x86_64-aravis","0.8.33-4","False","","any","mingw-package","A vision library for genicam based cameras (library, headers, tools) (mingw-w64)","","spdx:LGPL-2.1-or-later","https://wiki.gnome.org/Projects/Aravis","mingw-w64-ucrt-x86_64-libnotify;mingw-w64-ucrt-x86_64-libxml2;mingw-w64-ucrt-x86_64-zlib;mingw-w64-ucrt-x86_64-libusb;mingw-w64-ucrt-x86_64-gobject-introspection-runtime","","","","","345.58 KiB","2687.65 KiB","Sun Oct  5 02:02:32 2025"
"ucrt64","mingw-w64-ucrt-x86_64-aravis-gst","0.8.33-4","False","","any","mingw-package","A vision library for genicam based cameras (Gtk3 viewer, GStreamer plugin) (mingw-w64)","","spdx:LGPL-2.1-or-later","https://wiki.gnome.org/Projects/Aravis","mingw-w64-ucrt-x86_64-aravis;mingw-w64-ucrt-x86_64-gettext-runtime;mingw-w64-ucrt-x86_64-gtk3;mingw-w64-ucrt-x86_64-gst-plugins-good;mingw-w64-ucrt-x86_64-gstreamer","","","","","83.59 KiB","233.69 KiB","Sun Oct  5 02:02:32 2025"
