repository,name,version,installed,installed_version,architecture,classification,description,groups,licenses,project_url,required_dependencies,optional_dependencies,provides,conflicts,replaces,download_size,installed_size,build_date
ucrt64,mingw-w64-ucrt-x86_64-python-requests-toolbelt,1.0.0-5,False,,any,mingw-package,A utility belt for advanced users of python-requests (mingw-w64),,spdx:Apache-2.0,https://toolbelt.readthedocs.org/,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-requests,,,,,87784,458261,1769465171
ucrt64,mingw-w64-ucrt-x86_64-python-requests-unixsocket,0.4.1-3,False,,any,mingw-package,Use requests to talk HTTP via a UNIX domain socket (mingw-w64),,spdx:Apache-2.0,https://github.com/msabramo/requests-unixsocket,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-requests;mingw-w64-ucrt-x86_64-python-urllib3,,,,,21360,86485,1769465065
ucrt64,mingw-w64-ucrt-x86_64-python-resampy,0.4.3-5,False,,any,mingw-package,Efficient sample rate conversion in python (mingw-w64),,spdx:ISC,https://github.com/bmcfee/resampy,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-numba;mingw-w64-ucrt-x86_64-python-numpy,,,,,3077524,3442640,1769465884
ucrt64,mingw-w64-ucrt-x86_64-python-resolvelib,1.2.1-3,False,,any,mingw-package,Resolve abstract dependencies into concrete ones (mingw-w64),,spdx:ISC,https://github.com/sarugaku/resolvelib,mingw-w64-ucrt-x86_64-python,,,,,39220,199689,1769444857
ucrt64,mingw-w64-ucrt-x86_64-python-responses,0.25.8-3,False,,any,mingw-package,A utility library for mocking out the `requests` Python library. (mingw-w64),,spdx:Apache-2.0,https://github.com/getsentry/responses,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-requests;mingw-w64-ucrt-x86_64-python-urllib3;mingw-w64-ucrt-x86_64-python-yaml,,,,,66511,339626,1769464959
ucrt64,mingw-w64-ucrt-x86_64-python-retry-decorator,1.1.1-6,False,,any,mingw-package,Retry Decorator (mingw-w64),,spdx:MIT,https://github.com/pnpnpn/retry-decorator,mingw-w64-ucrt-x86_64-python,,,,,7075,12080,1769444770
ucrt64,mingw-w64-ucrt-x86_64-python-retrying,1.4.2-3,False,,any,mingw-package,A general purpose Python retyring library (mingw-w64),,spdx:Apache-2.0,https://github.com/groodt/retrying,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-six,,,,,17763,69458,1769444681
ucrt64,mingw-w64-ucrt-x86_64-python-rfc3339-validator,0.1.4-6,False,,any,mingw-package,A pure python RFC3339 validator (mingw-w64),,spdx:MIT,https://github.com/naimetti/rfc3339-validator,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-six,,,,,6154,9188,1769444590
ucrt64,mingw-w64-ucrt-x86_64-python-rfc3986,2.0.0-8,False,,any,mingw-package,Validating URI References per RFC 3986 (mingw-w64),,Apache,https://rfc3986.readthedocs.org/,mingw-w64-ucrt-x86_64-python,,,,,53367,304875,1769444053
ucrt64,mingw-w64-ucrt-x86_64-python-rfc3986-validator,0.1.1-7,False,,any,mingw-package,Pure python rfc3986 validator (mingw-w64),,spdx:MIT,https://github.com/naimetti/rfc3986-validator,mingw-w64-ucrt-x86_64-python,,,,,7086,17844,1769443958
ucrt64,mingw-w64-ucrt-x86_64-python-rfc3987,1.3.8-8,False,,any,mingw-package,Parsing and validation of URIs (RFC 3986) and IRIs (RFC 3987) (mingw-w64),,spdx:GPL-3.0-or-later,https://codeberg.org/atufi/rfc3987/,mingw-w64-ucrt-x86_64-python,,,,,28154,106953,1769443862
ucrt64,mingw-w64-ucrt-x86_64-python-rich,15.0.0-1,False,,any,mingw-package,"Render rich text, tables, progress bars, syntax highlighting, markdown and more to the terminal (mingw-w64)",,spdx:MIT,https://github.com/Textualize/rich,mingw-w64-ucrt-x86_64-python-markdown-it-py;mingw-w64-ucrt-x86_64-python-pygments,,,,,597993,4703586,1776127827
