repository,name,version,installed,installed_version,architecture,classification,description,groups,licenses,project_url,required_dependencies,optional_dependencies,provides,conflicts,replaces,download_size,installed_size,build_date
ucrt64,mingw-w64-ucrt-x86_64-python-spyder,6.1.5-2,False,,any,mingw-package,The Scientific Python Development Environment (mingw-w64),,spdx:MIT,https://www.spyder-ide.org/,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-aiohttp;mingw-w64-ucrt-x86_64-python-asyncssh;mingw-w64-ucrt-x86_64-python-bcrypt;mingw-w64-ucrt-x86_64-python-chardet;mingw-w64-ucrt-x86_64-python-cloudpickle;mingw-w64-ucrt-x86_64-python-cookiecutter;mingw-w64-ucrt-x86_64-python-diff-match-patch;mingw-w64-ucrt-x86_64-python-importlib-metadata;mingw-w64-ucrt-x86_64-python-intervaltree;mingw-w64-ucrt-x86_64-python-ipython;mingw-w64-ucrt-x86_64-python-jedi;mingw-w64-ucrt-x86_64-python-jellyfish;mingw-w64-ucrt-x86_64-python-jsonschema;mingw-w64-ucrt-x86_64-python-keyring;mingw-w64-ucrt-x86_64-python-jupyter-nbconvert;mingw-w64-ucrt-x86_64-python-numpydoc;mingw-w64-ucrt-x86_64-python-parso;mingw-w64-ucrt-x86_64-python-pexpect;mingw-w64-ucrt-x86_64-python-pickleshare;mingw-w64-ucrt-x86_64-python-psutil;mingw-w64-ucrt-x86_64-python-pygments;mingw-w64-ucrt-x86_64-python-pylint;mingw-w64-ucrt-x86_64-python-pylint-venv;mingw-w64-ucrt-x86_64-python-lsp-black;mingw-w64-ucrt-x86_64-python-pyls-spyder;mingw-w64-ucrt-x86_64-python-pyqt5;mingw-w64-ucrt-x86_64-python-lsp-ruff;mingw-w64-ucrt-x86_64-python-lsp-server;mingw-w64-ucrt-x86_64-python-pygithub;mingw-w64-ucrt-x86_64-python-pyzmq;mingw-w64-ucrt-x86_64-python-pyuca;mingw-w64-ucrt-x86_64-python-qdarkstyle;mingw-w64-ucrt-x86_64-python-qstylizer;mingw-w64-ucrt-x86_64-python-qtawesome;mingw-w64-ucrt-x86_64-python-qtconsole;mingw-w64-ucrt-x86_64-python-qtpy;mingw-w64-ucrt-x86_64-python-rtree;mingw-w64-ucrt-x86_64-python-setuptools;mingw-w64-ucrt-x86_64-python-sphinx;mingw-w64-ucrt-x86_64-python-spyder-kernels;mingw-w64-ucrt-x86_64-python-superqt;mingw-w64-ucrt-x86_64-python-textdistance;mingw-w64-ucrt-x86_64-python-three-merge;mingw-w64-ucrt-x86_64-python-watchdog;mingw-w64-ucrt-x86_64-python-yarl;mingw-w64-ucrt-x86_64-qtwebkit,mingw-w64-ucrt-x86_64-cython;mingw-w64-ucrt-x86_64-python-matplotlib;mingw-w64-ucrt-x86_64-python-numpy;mingw-w64-ucrt-x86_64-python-pandas;mingw-w64-ucrt-x86_64-python-scipy,,,,10256215,57267097,1785002799
ucrt64,mingw-w64-ucrt-x86_64-python-spyder-kernels,3.1.5-1,False,,any,mingw-package,Jupyter Kernels for the Spyder console (mingw-w64),,spdx:MIT,https://github.com/spyder-ide/spyder-kernels,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-cloudpickle;mingw-w64-ucrt-x86_64-python-ipykernel;mingw-w64-ucrt-x86_64-python-ipython;mingw-w64-ucrt-x86_64-python-jupyter_client;mingw-w64-ucrt-x86_64-python-pyzmq,,,,,173392,874906,1782499800
ucrt64,mingw-w64-ucrt-x86_64-python-sqlalchemy,2.0.51-1,False,,any,mingw-package,Python SQL toolkit and Object Relational Mapper (mingw-w64),,spdx:MIT,https://www.sqlalchemy.org/,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-greenlet;mingw-w64-ucrt-x86_64-python-typing_extensions,,,,,3777912,28875885,1785163424
ucrt64,mingw-w64-ucrt-x86_64-python-sqlitedict,2.1.0-6,False,,any,mingw-package,"Persistent dict, backed by sqlite3 and pickle, multithread-safe (mingw-w64)",,spdx:Apache-2.0,https://github.com/RaRe-Technologies/sqlitedict,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-sqlite3,,,,,28257,118054,1769435576
ucrt64,mingw-w64-ucrt-x86_64-python-sqlmodel,0.0.38-1,False,,any,mingw-package,"SQLModel, SQL databases in Python, designed for simplicity, compatibility, and robustness (mingw-w64)",,spdx:MIT,https://sqlmodel.tiangolo.com/,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-pydantic;mingw-w64-ucrt-x86_64-python-sqlalchemy,,,,,60687,338991,1775415250
ucrt64,mingw-w64-ucrt-x86_64-python-sqlparse,0.5.5-2,False,,any,mingw-package,Non-validating SQL parser for Python (mingw-w64),,spdx:BSD-3-Clause,https://github.com/andialbrecht/sqlparse,mingw-w64-ucrt-x86_64-python,,,,,134779,649970,1769451425
ucrt64,mingw-w64-ucrt-x86_64-python-srt,3.5.3-6,False,,any,mingw-package,"A tiny library for parsing, modifying, and composing SRT files. (mingw-w64)",,spdx:MIT,https://github.com/cdown/srt,mingw-w64-ucrt-x86_64-python,,,,,30442,113132,1769435489
ucrt64,mingw-w64-ucrt-x86_64-python-sse-starlette,3.4.6-1,False,,any,mingw-package,Server Sent Events (SSE) for Starlette and FastAPI (mingw-w64),,spdx:BSD-3-Clause,https://github.com/sysid/sse-starlette,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-anyio;mingw-w64-ucrt-x86_64-python-starlette,,,,,29701,112690,1784671662
ucrt64,mingw-w64-ucrt-x86_64-python-sspilib,0.4.0-3,False,,any,mingw-package,SSPI API bindings for Python (mingw-w64),,spdx:MIT,https://github.com/jborean93/sspilib/,mingw-w64-ucrt-x86_64-python,,,,,351356,1777272,1769435342
ucrt64,mingw-w64-ucrt-x86_64-python-stack-data,0.6.3-4,False,,any,mingw-package,Extract data from python stack frames and tracebacks for informative displays (mingw-w64),,MIT,https://github.com/alexmojaki/stack_data,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-executing;mingw-w64-ucrt-x86_64-python-asttokens;mingw-w64-ucrt-x86_64-python-pure-eval,,,,,54255,255760,1769445344
ucrt64,mingw-w64-ucrt-x86_64-python-standard-aifc,3.13.0-2,False,,any,mingw-package,Standard library aifc redistribution (mingw-w64),,spdx:PSF-2.0,https://github.com/youknowone/python-deadlib/tree/main/aifc,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-audioop-lts;mingw-w64-ucrt-x86_64-python-standard-chunk,,,,,24353,131581,1769438935
ucrt64,mingw-w64-ucrt-x86_64-python-standard-chunk,3.13.0-2,False,,any,mingw-package,Standard library chunk redistribution (mingw-w64),,spdx:PSF-2.0,https://github.com/youknowone/python-deadlib/tree/main/chunk,mingw-w64-ucrt-x86_64-python,,,,,9507,28217,1769435255
ucrt64,mingw-w64-ucrt-x86_64-python-standard-sunau,3.13.0-2,False,,any,mingw-package,Standard library sunau redistribution (mingw-w64),,spdx:PSF-2.0,https://github.com/youknowone/python-deadlib/tree/main/sunau,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-audioop-lts,,,,,16274,78550,1769438845
ucrt64,mingw-w64-ucrt-x86_64-python-starlette,1~1.3.1-1,False,,any,mingw-package,The little ASGI framework that shines (mingw-w64),,spdx:BSD-3-Clause,https://github.com/encode/starlette,mingw-w64-ucrt-x86_64-python;mingw-w64-ucrt-x86_64-python-anyio,mingw-w64-ucrt-x86_64-python-itsdangerous: for session middleware support;mingw-w64-ucrt-x86_64-python-jinja: for jinja templates;mingw-w64-ucrt-x86_64-python-python-multipart: for form parsing;mingw-w64-ucrt-x86_64-python-yaml: for schema generator;mingw-w64-ucrt-x86_64-python-httpx: for test client,,,,196131,1108955,1781722929
